epoch,train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,train_roc_auc,val_roc_auc
1,0.07228405160778471,0.02774536198315521,0.9792894486692015,0.99063270336894,0.9774626547666959,1.0,0.9812024714828897,0.9905173847945433,0.9793289927775999,0.9952361053071458,0.9951884286019569,0.9978687721159857
2,0.02044250461765449,0.027501693630862672,0.994462927756654,0.99063270336894,0.9980372444827421,1.0,0.990874524714829,0.9905173847945433,0.9944429869541368,0.9952361053071458,0.9981046831966814,0.9980059080874253
3,0.017975629545821832,0.022552781320579623,0.9953778517110267,0.9965488907148726,0.9969722255334367,1.0,0.9937737642585551,0.9965064049243054,0.9953704254686105,0.9982501458211815,0.9983214388738995,0.9980418781782947
4,0.017628524214663405,0.02581478665282096,0.9956154942965779,0.9953985209531635,0.9973766425794758,1.0,0.9938450570342205,0.9953418732324073,0.9956077180369237,0.9976654994163748,0.9981554736519431,0.998017148740822
5,0.01677005770273003,0.026734642356586846,0.9961145437262358,0.9965488907148726,0.9969293756397134,1.0,0.9952946768060836,0.9965064049243054,0.9961113555552913,0.9982501458211815,0.9984233092136651,0.9979362160363657
6,0.015747756288545404,0.024221255492648197,0.9963165399239544,0.9965488907148726,0.9968360452945094,1.0,0.9957937262357415,0.9965064049243054,0.9963146131532645,0.9982501458211815,0.9983777002477626,0.99802389313286
7,0.01667146693411252,0.02177338793353556,0.9966492395437262,0.9965488907148726,0.9982358270156868,1.0,0.9950570342205323,0.9965064049243054,0.9966438959369719,0.9982501458211815,0.9982689251145743,0.9981587809736204
8,0.01485253832678772,0.021630385485877923,0.9970057034220532,0.9965488907148726,0.9980472470946847,1.0,0.9959600760456274,0.9965064049243054,0.9970025692263774,0.9982501458211815,0.9985131878645962,0.9982059917178865
9,0.014855279226286343,0.020322206136521952,0.997231463878327,0.9965488907148726,0.998546546260335,1.0,0.9959125475285171,0.9965064049243054,0.9972278075884305,0.9982501458211815,0.9983041615011782,0.999464944898317
10,0.017717124862061378,0.024277981032355456,0.9964234790874524,0.9953985209531635,0.9973572057808148,1.0,0.9954847908745247,0.9953418732324073,0.9964201186950679,0.9976654994163748,0.9984063946863839,0.9994064935006542
